#"+EI TIC Scan Mix_Terpene.D "
#Point,X(Minutes),Y(Counts)
656,5.840,0.116798876506045
657,5.843,0.0639612895152151
658,5.847,0.0583994382530225
659,5.850,0.105327558277773
660,5.853,0.107065636797208
661,5.857,0.115408413690497
662,5.860,0.062570826699667
663,5.864,0.110541793836078
664,5.867,0.112975103763288
665,5.871,0.0879467730834208
666,5.874,0.107413252501095
667,5.877,0.101503785535015
668,5.881,0.0862086945639856
669,5.884,0.112975103763288
670,5.888,0.0688279093696337
671,5.891,0.0636136738113281
672,5.895,0.0823849218212282
673,5.898,0.0862086945639856
674,5.901,0.0684802936657466
675,5.905,0.0792563804862448
676,5.908,0.0674374465540855
677,5.912,0.109498946724417
678,5.915,0.0938562400495005
679,5.919,0.118189339321593
680,5.922,0.0862086945639856
681,5.925,0.0785611490784708
682,5.929,0.0948990871611616
683,5.932,0.0875991573795338
684,5.936,0.0674374465540855
685,5.939,0.0917705458261782
686,5.943,0.0778659176706967
687,5.946,0.0938562400495005
688,5.949,0.0862086945639856
689,5.953,0.0597899010685707
690,5.956,0.0914229301222912
691,5.960,0.0921181615300653
692,5.963,0.10915133102053
693,5.967,0.0709136035929559
694,5.970,0.109846562428304
695,5.973,0.0688279093696337
696,5.977,0.0942038557533875
697,5.980,0.0921181615300653
698,5.984,0.0771706862629226
699,5.987,0.0935086243456134
700,5.991,0.0691755250735207
701,5.994,0.071261219296843
702,5.997,0.0945514714572745
703,6.001,0.0813420747095671
704,6.004,0.07160883500073
705,6.008,0.0643089052191022
706,6.011,0.0587470539569096
707,6.015,0.106370405389434
708,6.018,0.0385853431314613
709,6.021,0.0764754548551485
710,6.025,0.0563137440297003
711,6.028,0.0410186530586706
712,6.032,0.0677850622579726
713,6.035,0.0580518225491355
714,6.039,0.0872515416756467
715,6.042,0.0820373061173412
716,6.045,0.0914229301222912
717,6.049,0.0677850622579726
718,6.052,0.0837753846367763
719,6.056,0.0333711075731557
720,6.059,0.0615279795880059
721,6.063,0.0879467730834208
722,6.066,0.0820373061173412
723,6.069,0.0733469135201652
724,6.073,0.0966371656805968
725,6.076,0.0615279795880059
726,6.080,0.0862086945639856
727,6.083,0.0775183019668096
728,6.087,0.0594422853646836
729,6.090,0.053532818398604
730,6.093,0.0583994382530225
731,6.097,0.0768230705590356
732,6.100,0.0976800127922579
733,6.104,0.138351050147041
734,6.107,0.142870054297573
735,6.111,0.197098104103951
736,6.114,0.253759463837538
737,6.117,0.281221104444614
